trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.001, 'e': 0.8860339595928756}",35,0,-262.0363917747097,"{0: 14, 1: 8, 2: 9, 3: 1, 4: 3}",0
123,False,"{'a': 0.001, 'e': 0.8851483685026271}",30,17,-57.71212321673674,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
124,False,"{'a': 0.001, 'e': 0.8842636625608209}",20,0,-39.1158014930968,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
125,False,"{'a': 0.001, 'e': 0.8833798408827509}",30,0,-133.9685084293086,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.001, 'e': 0.8824969025845955}",25,0,-71.42213153956268,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
127,False,"{'a': 0.001, 'e': 0.8816148467834161}",30,0,-159.29754291862847,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
128,False,"{'a': 0.001, 'e': 0.880733672597157}",25,0,-232.46593994538753,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
129,False,"{'a': 0.001, 'e': 0.8798533791446438}",20,0,-85.5386742203291,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
130,False,"{'a': 0.001, 'e': 0.8789739655455832}",25,0,-62.85094669156023,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.001, 'e': 0.8780954309205613}",25,0,-148.41564658194008,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
132,False,"{'a': 0.001, 'e': 0.8772177743910435}",20,0,-101.64699917339541,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
133,False,"{'a': 0.001, 'e': 0.8763409950793732}",35,0,-114.02184435861024,"{0: 21, 1: 5, 2: 7, 3: 2, 4: 0}",0
134,False,"{'a': 0.001, 'e': 0.8754650921087711}",20,0,-65.22824500057406,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.001, 'e': 0.874590064603334}",20,0,-143.3991604975508,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.001, 'e': 0.8737159116880344}",20,0,-154.49915162509268,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
137,False,"{'a': 0.001, 'e': 0.8728426324887193}",20,0,-105.82005192957959,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
138,False,"{'a': 0.001, 'e': 0.8719702261321094}",20,0,-75.20209180150421,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
139,False,"{'a': 0.001, 'e': 0.8710986917457983}",30,0,-169.34357895890145,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
140,False,"{'a': 0.001, 'e': 0.8702280284582515}",25,0,-109.79584231485103,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
141,False,"{'a': 0.001, 'e': 0.8693582353988059}",25,0,-143.6114214748995,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
142,False,"{'a': 0.001, 'e': 0.8684893116976679}",20,0,-71.00493130664265,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
143,False,"{'a': 0.001, 'e': 0.867621256485914}",20,0,-135.47963140445523,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
144,False,"{'a': 0.001, 'e': 0.8667540688954889}",25,7,-102.29902554977046,"{0: 9, 1: 2, 2: 4, 3: 3, 4: 0}",1
145,False,"{'a': 0.001, 'e': 0.865887748059205}",20,0,-140.44021579804132,"{0: 7, 1: 5, 2: 6, 3: 1, 4: 1}",0
146,False,"{'a': 0.001, 'e': 0.8650222931107413}",25,0,-214.31212530916412,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
147,False,"{'a': 0.001, 'e': 0.8641577031846428}",30,0,-157.11459227253738,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
148,False,"{'a': 0.001, 'e': 0.8632939774163194}",35,0,-284.57321336472404,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 5}",0
149,False,"{'a': 0.001, 'e': 0.8624311149420455}",25,0,-166.72415278597256,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
150,False,"{'a': 0.001, 'e': 0.8615691148989583}",30,0,-140.88745397649643,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
151,False,"{'a': 0.001, 'e': 0.8607079764250578}",25,0,-164.8054804637791,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
152,False,"{'a': 0.001, 'e': 0.8598476986592055}",25,0,-192.89686367200918,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
153,False,"{'a': 0.001, 'e': 0.8589882807411234}",20,0,-101.556577703699,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
154,False,"{'a': 0.001, 'e': 0.8581297218113938}",20,0,-93.89704480225012,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
155,False,"{'a': 0.001, 'e': 0.8572720210114575}",30,0,-149.2711173224081,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.8564151774836135}",25,0,-175.29179424171656,"{0: 9, 1: 6, 2: 7, 3: 2, 4: 1}",0
157,False,"{'a': 0.001, 'e': 0.8555591903710185}",25,0,-248.18691699704567,"{0: 10, 1: 3, 2: 8, 3: 0, 4: 4}",0
158,False,"{'a': 0.001, 'e': 0.8547040588176851}",25,0,-144.47884660365565,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
159,False,"{'a': 0.001, 'e': 0.8538497819684817}",20,0,-103.34404083900098,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.001, 'e': 0.8529963589691315}",20,0,-192.61496697554983,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
161,False,"{'a': 0.001, 'e': 0.8521437889662113}",20,0,-151.44171328121783,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
162,False,"{'a': 0.001, 'e': 0.8512920711071511}",20,7,-48.66207686541911,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.001, 'e': 0.850441204540233}",20,0,-187.9834421340675,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
164,False,"{'a': 0.001, 'e': 0.8495911884145902}",30,0,-171.41302386704865,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
165,False,"{'a': 0.001, 'e': 0.8487420218802068}",20,0,-194.12600678231908,"{0: 4, 1: 4, 2: 8, 3: 3, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.8478937040879159}",20,0,-206.56021555984626,"{0: 6, 1: 5, 2: 5, 3: 1, 4: 3}",0
167,False,"{'a': 0.001, 'e': 0.8470462341893996}",25,0,-134.91135581416503,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
168,False,"{'a': 0.001, 'e': 0.8461996113371882}",20,0,-166.93880393338682,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
169,False,"{'a': 0.001, 'e': 0.8453538346846587}",35,0,-231.85944592704965,"{0: 17, 1: 7, 2: 7, 3: 1, 4: 3}",0
170,False,"{'a': 0.001, 'e': 0.8445089033860343}",25,0,-24.694785668533186,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.001, 'e': 0.8436648165963837}",30,0,-174.74242130879617,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
172,False,"{'a': 0.001, 'e': 0.8428215734716199}",20,0,-200.21555117257617,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
173,False,"{'a': 0.001, 'e': 0.8419791731684999}",25,0,-180.1423038769624,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
